killRatio,deathRatio,tier,blue_team,win
0.277777778,0.1,BRONZE,TRUE,FALSE
0.2,0.19047619,BRONZE,FALSE,TRUE
0.088235294,0.333333333,BRONZE,TRUE,TRUE
0.25,0.125,BRONZE,FALSE,TRUE
0.363636364,0.138888889,BRONZE,FALSE,FALSE
0.242424242,0.238095238,BRONZE,TRUE,TRUE
0,0.184210526,BRONZE,FALSE,FALSE
0.1,0.219512195,BRONZE,TRUE,FALSE
0.125,0.166666667,BRONZE,FALSE,FALSE
0.166666667,0.3125,BRONZE,FALSE,FALSE
0.551724138,0.209302326,BRONZE,TRUE,FALSE
0.228571429,0.35,BRONZE,TRUE,TRUE
0.238095238,0.105263158,BRONZE,FALSE,TRUE
0.321428571,0.205128205,BRONZE,FALSE,FALSE
0.35,0.045454545,BRONZE,TRUE,TRUE
0.2,0.25,BRONZE,TRUE,FALSE
0.216216216,0.193548387,BRONZE,TRUE,TRUE
0.272727273,0.275862069,BRONZE,TRUE,FALSE
0.06,0.142857143,BRONZE,TRUE,TRUE
0.214285714,0.333333333,BRONZE,FALSE,FALSE
0.214285714,0.357142857,BRONZE,FALSE,TRUE
0.225806452,0.111111111,BRONZE,TRUE,TRUE
0.179487179,0.1875,BRONZE,FALSE,TRUE
0,0,BRONZE,FALSE,FALSE
0.333333333,0.333333333,BRONZE,TRUE,FALSE
0.411764706,0.185185185,BRONZE,FALSE,FALSE
0.333333333,0.172413793,BRONZE,TRUE,TRUE
0.25,0.333333333,BRONZE,TRUE,FALSE
0.15,0.25,BRONZE,TRUE,FALSE
0.325,0.357142857,BRONZE,TRUE,TRUE
0.35,0.170731707,BRONZE,FALSE,TRUE
0.117647059,0.204545455,BRONZE,TRUE,FALSE
0.107142857,0,BRONZE,FALSE,TRUE
0.333333333,0.258064516,BRONZE,TRUE,FALSE
0.366666667,0.139534884,BRONZE,TRUE,FALSE
0.12244898,0.352941176,BRONZE,TRUE,TRUE
0.35,0.193548387,BRONZE,FALSE,FALSE
0.333333333,0.260869565,BRONZE,TRUE,FALSE
0.3,0.2,BRONZE,FALSE,FALSE
0.25,0.3,BRONZE,FALSE,FALSE
0,0.363636364,BRONZE,TRUE,FALSE
0.12,0.103448276,BRONZE,TRUE,FALSE
0.133333333,0.178571429,BRONZE,FALSE,FALSE
0.181818182,0.04,BRONZE,FALSE,FALSE
0.176470588,0.333333333,BRONZE,TRUE,TRUE
0.441860465,0.142857143,BRONZE,TRUE,TRUE
0.366666667,0.228571429,BRONZE,TRUE,FALSE
0.333333333,0.125,BRONZE,FALSE,TRUE
0.294117647,0.242424242,BRONZE,TRUE,TRUE
0.090909091,0.3,BRONZE,FALSE,FALSE
0.272727273,0.230769231,BRONZE,FALSE,FALSE
0.28125,0.304347826,BRONZE,FALSE,TRUE
0.208333333,0.2,BRONZE,TRUE,FALSE
0,0.04,BRONZE,TRUE,FALSE
0.222222222,0.224489796,BRONZE,TRUE,FALSE
0.052631579,0.222222222,BRONZE,FALSE,TRUE
0.181818182,0.285714286,BRONZE,TRUE,TRUE
0.333333333,0.071428571,BRONZE,FALSE,TRUE
0.192307692,0,BRONZE,FALSE,TRUE
0.186046512,0.210526316,BRONZE,TRUE,FALSE
0.428571429,0.266666667,BRONZE,FALSE,FALSE
0.375,0.23255814,BRONZE,TRUE,FALSE
0.166666667,0.181818182,BRONZE,FALSE,TRUE
0.2,0,BRONZE,TRUE,TRUE
0.35483871,0.411764706,BRONZE,TRUE,TRUE
0.347826087,0.103448276,BRONZE,TRUE,FALSE
0.047619048,0.12,BRONZE,FALSE,FALSE
0.186046512,0.162790698,BRONZE,TRUE,TRUE
0,0,SILVER,FALSE,TRUE
0.181818182,0.277777778,SILVER,TRUE,FALSE
0.260869565,0.166666667,SILVER,FALSE,FALSE
0,0.1,SILVER,FALSE,FALSE
0.217391304,0.18,SILVER,FALSE,FALSE
0.083333333,0,SILVER,FALSE,TRUE
0.384615385,0.214285714,SILVER,TRUE,FALSE
0.294117647,0.208333333,SILVER,TRUE,FALSE
0.0625,0.2,SILVER,FALSE,TRUE
0.347826087,0.125,SILVER,FALSE,TRUE
0.282051282,0.117647059,SILVER,TRUE,TRUE
0.166666667,0.175,SILVER,TRUE,TRUE
0.117647059,0.098039216,SILVER,TRUE,FALSE
0.173913043,0.282051282,SILVER,FALSE,FALSE
0.34,0.130434783,SILVER,TRUE,TRUE
0.15625,0.25,SILVER,TRUE,FALSE
0.119047619,0.2,SILVER,TRUE,TRUE
0.575757576,0.142857143,SILVER,FALSE,FALSE
0.75,0.2,SILVER,FALSE,FALSE
0,0.272727273,SILVER,TRUE,FALSE
0.25,0.269230769,SILVER,FALSE,FALSE
0.295454545,0.225806452,SILVER,TRUE,TRUE
0.378378378,0.107142857,SILVER,FALSE,TRUE
0.235294118,0.214285714,SILVER,FALSE,TRUE
0.384615385,0.171428571,SILVER,FALSE,FALSE
0.361111111,0.2,SILVER,FALSE,TRUE
0.55,0.151515152,SILVER,FALSE,FALSE
0,0,SILVER,FALSE,FALSE
0.484848485,0.2,SILVER,TRUE,TRUE
0.235294118,0.119047619,SILVER,TRUE,TRUE
0.25,0.227272727,SILVER,FALSE,TRUE
0.477272727,0.305555556,SILVER,FALSE,FALSE
0.318181818,0.260869565,SILVER,FALSE,FALSE
0.230769231,0.235294118,SILVER,FALSE,FALSE
0.454545455,0.303030303,SILVER,FALSE,FALSE
0.222222222,0.25,SILVER,FALSE,FALSE
0.510638298,0.151515152,SILVER,FALSE,FALSE
0.4,0.275862069,SILVER,FALSE,FALSE
0.603174603,0.236842105,SILVER,FALSE,TRUE
0.36,0.105263158,SILVER,FALSE,TRUE
0.4,0.105263158,SILVER,TRUE,TRUE
0.2,0.205128205,SILVER,FALSE,FALSE
0.2,0.172413793,SILVER,FALSE,TRUE
0,0.176470588,SILVER,FALSE,FALSE
0.344827586,0.265306122,SILVER,FALSE,TRUE
0.214285714,0.25,SILVER,FALSE,TRUE
0.3125,0.153846154,SILVER,TRUE,TRUE
0.193548387,0.205128205,SILVER,TRUE,FALSE
0.25,0.285714286,SILVER,TRUE,FALSE
0.375,0.066666667,SILVER,TRUE,TRUE
0.272727273,0.212121212,SILVER,TRUE,FALSE
0.333333333,0.125,SILVER,TRUE,TRUE
0.37037037,0.16,SILVER,FALSE,FALSE
